ID,Repeat,Init,Fin,Length (s),Song Name,Link,Comments,Singer,Language,Gender
Aax_II1ZfsA,0,0.01,0.41,40,Always Remember x Andraè Crouch #IAmDamien Cover,youtube.com/watch?v=Aax_II1ZfsA,,IAmDamien,English,Male
MyY0OK-t8w0,0,0.02,0.51,49,Boyz II Men x Mama (Mother's Day #IAmDamien Cover),youtube.com/watch?v=MyY0OK-t8w0,,IAmDamien,English,Male
k93ePFhrcQE,0,0.08,1.4,92,Great Is Thy Faithfulness (#IAmDamien Cover),youtube.com/watch?v=k93ePFhrcQE,,IAmDamien,English,Male
KFc2E3ulTfQ,0,0,0.58,58,Soon I Will Be Done x Mahilia Jackson (#IAmDamien),youtube.com/watch?v=KFc2E3ulTfQ,,IAmDamien,English,Male
f3AhdrKSYXg,0,0.04,1.14,70,Get You x #IAmDamienMusic,youtube.com/watch?v=f3AhdrKSYXg,,IAmDamien,English,Male
fLUqt4yDPyo,0,0.03,1.5,107,Available To You x #IAmDamienMusic,youtube.com/watch?v=fLUqt4yDPyo,,IAmDamien,English,Male
A-NBQs3i8uE,0,0.02,2.57,175,No digas nada Cali y el Dandee (cover acapella),youtube.com/watch?v=A-NBQs3i8uE,,Natty Estrada,Spanish,Female
Qn_SthEBG0o,0,0,4.18,258,Someone Like You (Adele),youtube.com/watch?v=Qn_SthEBG0o,,Maria José González Orozco,English,Female
6G2sF-dAOzg,0,0,2.4,160,Antología/ Shakira - cover acapella ❤,youtube.com/watch?v=6G2sF-dAOzg,,yully Torres,Spanish,Female
aC6j_t0PbAs,0,0.02,1.52,110,Stand by me/ King - acapella❤,youtube.com/watch?v=aC6j_t0PbAs,,yully Torres,English,Female
MUOEFcqI6TM,0,0.04,2,116,Contigo aprendí - cover acapella❤,youtube.com/watch?v=MUOEFcqI6TM,,yully Torres,Spanish,Female
GbfMH5VT6PY,0,0.02,1,58,"Chantaje - Shakira, Maluma | Cover Acapella by SALGADO",youtube.com/watch?v=GbfMH5VT6PY,,SALGADO,Spanish,Male
4wc72JPjhiU,0,0.12,1.54,102,RAMOS - Você Me Roubou (Underneath Your Clothes) [Rouge Acapella Cover],youtube.com/watch?v=4wc72JPjhiU,,RAMOS,Portuguese,Male
3l3lW6mYdA4,0,0.1,1.51,101,RAMOS - Quando Eu Chorar (Bruna Karla Acapella Cover),youtube.com/watch?v=3l3lW6mYdA4,,RAMOS,Portuguese,Male
Ia4c9Ljg-rE,0,0,2.27,147,Video de Inevitable Shakira Cover Acapella,youtube.com/watch?v=Ia4c9Ljg-rE,,Denisse,Spanish,Female
hWpYvHYVWsQ,0,0.01,2.3,149,NF - Falling Apart (acapella cover),youtube.com/watch?v=hWpYvHYVWsQ,,Ann,English,Female
2ua4poQKLzY,0,0.14,3.27,193,Shakira Antologia Cover Fiona Acapella,youtube.com/watch?v=2ua4poQKLzY,,Fio Vida,Spanish,Female
rQY2538dwA0,0,0,0.57,57,Doble Oficial de Maluma Canta Trap Acapella Maluma ft Shakira,youtube.com/watch?v=rQY2538dwA0,,Maluma Chileno,Spanish,Male
KAm6BC5v38s,0,0.01,0.26,25,AIDA CORTES IMPROVISANDO,youtube.com/watch?v=KAm6BC5v38s,,Aida Cortes,Spanish,Female
IUM26K5KPkc,0,0.02,1.04,62,Créeme (karol g ft Maluma ) a capella 🖤 Aida cortes,youtube.com/watch?v=IUM26K5KPkc,,Aida Cortes,Spanish,Female
iHx37fWhBZ4,0,0.02,0.51,49,Ya no te creo nada 💔 - Aida Cortes improvisando acapella,youtube.com/watch?v=iHx37fWhBZ4,,Aida Cortes,Spanish,Female
lnXEBu6kNpo,0,0.06,3.02,176,CINTA TERBAIK - Cassandra (lagu tanpa musik) video lirik,youtube.com/watch?v=lnXEBu6kNpo,,TinnyMariaMusic,Indonesian,Female
QcRvb7utUyI,0,0,3.25,205,TAK SEMPURNA - lagu ciptaan Tinny Maria,youtube.com/watch?v=QcRvb7utUyI,,TinnyMariaMusic,Indonesian,Female
B1SFK8RpfAM,0,0.2,4.08,228,Didi Kempot-Banyu Langit-Cover By Jihan (Tanpa Musik),youtube.com/watch?v=B1SFK8RpfAM,,Jihan ufairoh,Indonesian,Female
ADQguLzR-aA,0,0.15,4.06,231,Anji (Menunggu Kamu ),youtube.com/watch?v=ADQguLzR-aA,,Dewifa Jedew,Indonesian,Female
RU3OEEWVe-M,0,0.14,3.08,174,Cinta luar biasa - Andmesh Kamaleng (cover no music),youtube.com/watch?v=RU3OEEWVe-M,,Dewifa Jedew,Indonesian,Female
jXG7QfVxLQQ,0,0.01,1.18,77,Tata Janeeta ft.Maia estianty - Sang Penggoda ( Cover no Music ),youtube.com/watch?v=jXG7QfVxLQQ,,FirdaYanZa,Indonesian,Female
aawfHe0LPVo,0,0.01,2.11,130,Día De Enero (Shakira),youtube.com/watch?v=aawfHe0LPVo,,Rebeca Acapella,Spanish,Female
8Sb5IvpztgQ,0,0.06,3.35,209,Mi Buen Amor (Mon Laferte),youtube.com/watch?v=8Sb5IvpztgQ,,Rebeca Acapella,Spanish,Female
AaCxlCOp7qc,0,0.05,2.41,156,Hasta La Raíz (Natalia Lafourcade),youtube.com/watch?v=AaCxlCOp7qc,,Rebeca Acapella,Spanish,Female
hYA89DJnGhM,0,0.04,3.12,188,Monsieur Periné - Bailar Contigo (cover acapella),youtube.com/watch?v=hYA89DJnGhM,,Rebeca Acapella,Spanish,Female
w5kkNA17I3U,0,0.01,2.54,173,Ximena Sariñana - Si tu te vas (cover acapella),youtube.com/watch?v=w5kkNA17I3U,,Rebeca Acapella,Spanish,Female
KZ2sStnpYQ4,0,0.03,3,177,Pepe Aguilar - Prometiste (cover acapella),youtube.com/watch?v=KZ2sStnpYQ4,,Rebeca Acapella,Spanish,Female
p9J-9sivFjo,0,0.04,2.59,175,Carla Morrison - Disfruto (cover acapella),youtube.com/watch?v=p9J-9sivFjo,,Rebeca Acapella,Spanish,Female
Kre-gQgLUKQ,0,0.01,2.4,159,Mon Laferte - Por qué me fui a enamorar de ti (cover acapella),youtube.com/watch?v=Kre-gQgLUKQ,,Rebeca Acapella,Spanish,Female
s4KpFBK-Mpc,0,0.03,3.16,193,León Larregui - Brillas (cover acapella),youtube.com/watch?v=s4KpFBK-Mpc,,Rebeca Acapella,Spanish,Female
cpXKrVi041A,0,0.01,1.49,108,Natalia Lafourcade - Tú sí sabes quererme (cover acapella),youtube.com/watch?v=cpXKrVi041A,,Rebeca Acapella,Spanish,Female
h8GQlokXttg,0,0.01,2.31,150,Banda MS - Mi razón de ser (cover acapella),youtube.com/watch?v=h8GQlokXttg,,Rebeca Acapella,Spanish,Female
QQUmjm8o6Ts,0,0.02,1.53,111,"Despacito (Luis Fonsi, Daddy Yankee)",youtube.com/watch?v=QQUmjm8o6Ts,,Rebeca Acapella,Spanish,Female
sduHjAf5XOE,0,0.04,2.26,142,Zoé - Luna (cover acapella),youtube.com/watch?v=sduHjAf5XOE,,Rebeca Acapella,Spanish,Female
8hLVmFpVXFw,0,0.02,2.2,138,Carla Morrison - Déjenme llorar (cover acapella),youtube.com/watch?v=8hLVmFpVXFw,,Rebeca Acapella,Spanish,Female
6OwUvTW0EOk,0,0.03,1.45,102,Manuel Medrano - Bajo el agua (cover acapella),youtube.com/watch?v=6OwUvTW0EOk,,Rebeca Acapella,Spanish,Female
wfmzetFnvM0,0,0.03,1.53,110,Sebastian Yatra - Como mirarte (cover acapella),youtube.com/watch?v=wfmzetFnvM0,,Rebeca Acapella,Spanish,Female
gXiYUz0jOis,0,0.01,3.08,187,Coro,youtube.com/watch?v=gXiYUz0jOis,,Carito Parroquiano,Spanish,Female
8oIT8gc_Hps,0,0,2,120,La Mejor Versión de mi - cover - Natti Natasha,youtube.com/watch?v=8oIT8gc_Hps,,Milena Vega,Spanish,Female
45nJflhi0Ik,0,0.01,0.58,57,Acapella : Dueles - Jesse & Joy,youtube.com/watch?v=45nJflhi0Ik,,Milena Vega,Spanish,Female
x_peJU531R4,0,0,0.59,59,Ya no hay fuego - Aliados | Cover | Pili Areco,youtube.com/watch?v=x_peJU531R4,,Pili Areco,Spanish,Female
cJ5Op1irgL4,0,0,3.08,188,Mash up: Sin Principio Ni Final / La Llave - Abel Pintos | Cover Acapella | Pili Areco,youtube.com/watch?v=cJ5Op1irgL4,,Pili Areco,Spanish,Female
OqLgyqctRbo,0,0,3.17,197,Tanto Amarte - Oriana Sabatini - Aliados | Cover Acapella | Pili Areco,youtube.com/watch?v=OqLgyqctRbo,,Pili Areco,Spanish,Female
5aW4zK3g6gc,0,0.19,2.02,103,Give your heart a break cover,youtube.com/watch?v=5aW4zK3g6gc,,laurette valdez,English,Female
m6LE4cVHw-E,0,0,0.44,44,"Rocco Hunt, Boomdabash ft. J-Ax - Ti Volevo Dedicare Cover",youtube.com/watch?v=m6LE4cVHw-E,,JoyfulLuisa,Italian,Female
8C-H8hCA3H4,0,0,0.35,35,Giulia Penna - Bacio A Distanza Cover,youtube.com/watch?v=8C-H8hCA3H4,,JoyfulLuisa,Italian,Female
bxyav-dKweE,0,0,0.29,29,AIELLO - VIENIMI (a ballare) Cover,youtube.com/watch?v=bxyav-dKweE,,JoyfulLuisa,Italian,Female
Y3FIFawIdjM,0,0,0.44,44,"Rocco Hunt, Ana Mena - A Un Passo Dalla Luna Cover",youtube.com/watch?v=Y3FIFawIdjM,,JoyfulLuisa,Italian,Female
b9xdmY4go_U,0,0.02,1.17,75,Taylor Swift – Beautiful Ghosts (from CATS) Cover,youtube.com/watch?v=b9xdmY4go_U,,JoyfulLuisa,English,Female
ygdTMVijgAM,0,0,0.29,29,BTS (防弾少年団) 'Airplane pt.2 Cover,youtube.com/watch?v=ygdTMVijgAM,,JoyfulLuisa,English,Female
eQSrTJYqkpM,0,0,0.47,47,Drake - Nice For What Cover,youtube.com/watch?v=eQSrTJYqkpM,,JoyfulLuisa,English,Female
CneOAzk-m_c,0,0,0.29,29,"DJ Khaled - No Brainer ft. Justin Bieber, Chance the Rapper, Quavo Cover",youtube.com/watch?v=CneOAzk-m_c,,JoyfulLuisa,English,Female
2FlUV4n4IuM,0,0,0.44,44,JIMIN '약속 - PROMISE English Cover,youtube.com/watch?v=2FlUV4n4IuM,,JoyfulLuisa,English,Female
58s7My_j4Rs,0,0,0.26,26,"Kendrick Lamar, SZA - All The Stars Cover",youtube.com/watch?v=58s7My_j4Rs,,JoyfulLuisa,English,Female
dc_B6fP7WiA,0,0,0.34,34,Tommaso Paradiso - Non Avere Paura Cover,youtube.com/watch?v=dc_B6fP7WiA,,JoyfulLuisa,Italian,Female
07-ECnXskJA,0,0.01,0.51,50,Kylie Jenner - Rise and Shine Cover,youtube.com/watch?v=07-ECnXskJA,,JoyfulLuisa,English,Female
DsnTTuY83y8,0,0,0.35,35,"Olivia Rodrigo, Joshua Bassett - Just for a Moment Cover",youtube.com/watch?v=DsnTTuY83y8,,JoyfulLuisa,English,Female
baD8YtHj9cE,0,0,0.21,21,Anitta - Não Perco Meu Tempo Cover,youtube.com/watch?v=baD8YtHj9cE,,JoyfulLuisa,Portuguese,Female
PiyfM9ZnY0g,0,0,0.49,49,Fred De Palma - Una Volta Ancora ft. Ana Mena Cover,youtube.com/watch?v=PiyfM9ZnY0g,,JoyfulLuisa,Italian,Female
xHyMOy8zaYg,0,0,0.52,52,Sophia Grace - HOLLYWOOD Cover,youtube.com/watch?v=xHyMOy8zaYg,,JoyfulLuisa,English,Female
QdtxIdNbnss,0,0,0.22,22,Benji & Fede ft. Shari - Sale Cover,youtube.com/watch?v=QdtxIdNbnss,,JoyfulLuisa,Italian,Female
tUoPPEqBydA,0,0,0.49,49,Steve Aoki x Lauren Jauregui - All Night Cover,youtube.com/watch?v=tUoPPEqBydA,,JoyfulLuisa,English,Female
oEAegVJ7YXA,0,0,0.28,28,MARINA - Orange Trees Cover,youtube.com/watch?v=oEAegVJ7YXA,,JoyfulLuisa,English,Female
2rv_bllda9s,0,0,0.34,34,Little Mix - Joan of Arc Cover,youtube.com/watch?v=2rv_bllda9s,,JoyfulLuisa,English,Female
yfIiw2jDKyA,0,0,0.51,51,Il Volo - La Luna Hizo Esto Cover,youtube.com/watch?v=yfIiw2jDKyA,,JoyfulLuisa,Italian,Female
EqByx6N0eAM,0,0,0.23,23,"Thalía, Lali - Lindo Pero Bruto Cover",youtube.com/watch?v=EqByx6N0eAM,,JoyfulLuisa,Portuguese,Female
ri6D53Uvzsk,0,0,0.48,48,Lana Condor & Anthony De La Torre - Raining in London Cover,youtube.com/watch?v=ri6D53Uvzsk,,JoyfulLuisa,English,Female
JGTYmvXRPNQ,0,0,0.33,33,"Sebastián Yatra, Reik - Un Año Cover",youtube.com/watch?v=JGTYmvXRPNQ,,JoyfulLuisa,Spanish,Female
-eXCItSzjW8,0,0,0.53,53,Dua Lipa - Swan Song (From Alita: Battle Angel) Cover,youtube.com/watch?v=-eXCItSzjW8,,JoyfulLuisa,English,Female
maFXJFvmqBU,0,0,1.08,68,DNCE - Body Moves Cover,youtube.com/watch?v=maFXJFvmqBU,,JoyfulLuisa,English,Female
hCqIu4qmSRY,0,0,0.38,38,"Lele Pons - Volar ft. Susan Diaz, Victor Cardenas Cover",youtube.com/watch?v=hCqIu4qmSRY,,JoyfulLuisa,Spanish,Female
fULU-NMbjzA,0,0,0.46,46,"Pentatonix - O Come, All Ye Faithful Cover",youtube.com/watch?v=fULU-NMbjzA,,JoyfulLuisa,English,Female
v8Hp3P2P3iQ,0,0,1.11,71,Maroon 5 - Cold ft. Future Cover,youtube.com/watch?v=v8Hp3P2P3iQ,,JoyfulLuisa,English,Female
j2Z1ppm2F_Y,0,0,0.35,35,Ariana Grande - She Got Her Own Cover,youtube.com/watch?v=j2Z1ppm2F_Y,,JoyfulLuisa,English,Female
iMebDHhluEE,0,0,0.5,50,Britney Spears - Slumber Party ft. Tinashe Cover,youtube.com/watch?v=iMebDHhluEE,,JoyfulLuisa,English,Female
ci8qd8U2gDs,0,0,1.13,73,Alessandra Amoroso - Comunque andare Cover,youtube.com/watch?v=ci8qd8U2gDs,,JoyfulLuisa,Italian,Female
sg4RM5syUK8,0,0,0.32,32,"Anuel AA, Karol G - Secreto Cover",youtube.com/watch?v=sg4RM5syUK8,,JoyfulLuisa,Spanish,Female
vkfOYgODJVM,0,0,0.54,54,Camila Cabello - OMG ft. Quavo Cover,youtube.com/watch?v=vkfOYgODJVM,,JoyfulLuisa,English,Female
SW6YdrJXx00,0,0,0.44,44,Jonas Brothers - What A Man Gotta Do Cover,youtube.com/watch?v=SW6YdrJXx00,,JoyfulLuisa,English,Female
v-vuDPH28dM,0,0,0.58,58,"Ariana Grande, John Legend - Beauty and the Beast Cover",youtube.com/watch?v=v-vuDPH28dM,,JoyfulLuisa,English,Female
frajGKgm-Lk,0,0.01,0.39,38,Marian Hill ft. Lauren Jauregui - Back to Me Cover,youtube.com/watch?v=frajGKgm-Lk,,JoyfulLuisa,English,Female
oaiJ9eqi9h4,0,0,0.51,51,The Weeknd ft. Daft Punk- I Feel It Coming Cover,youtube.com/watch?v=oaiJ9eqi9h4,,JoyfulLuisa,English,Female
Q7ftc9MD8WU,0,0,1.15,75,Little Mix - Shout Out To My Ex Cover,youtube.com/watch?v=Q7ftc9MD8WU,,JoyfulLuisa,English,Female
vtjNwsdyi5Q,0,0,1.01,61,Ellie Goulding - On My Mind Cover,youtube.com/watch?v=vtjNwsdyi5Q,,JoyfulLuisa,English,Female
8VE_5nUTY84,0,0,0.33,33,"GIMS, Maluma - Hola Señorita (Maria) Cover",youtube.com/watch?v=8VE_5nUTY84,,JoyfulLuisa,Spanish,Female
CEdhBlDYLl4,0,0,0.35,35,"Faith (Stevie Wonder, Ariana Grande)",youtube.com/watch?v=CEdhBlDYLl4,,JoyfulLuisa,English,Female
vkBqJ4BLTLs,0,0,0.56,56,"Who Is Fancy - Boys Like You ft. Meghan Trainor, Ariana Grande Cover",youtube.com/watch?v=vkBqJ4BLTLs,,JoyfulLuisa,English,Female
zpbc1tt-eAQ,0,0,0.2,20,"Cheat Codes, Little Mix - Only You Cover",youtube.com/watch?v=zpbc1tt-eAQ,,JoyfulLuisa,English,Female
CF-xEMLWpq8,0,0,1.02,62,The Weeknd - Nothing Without You Cover,youtube.com/watch?v=CF-xEMLWpq8,,JoyfulLuisa,English,Female
Em_bQqA-F_o,0,0,1.06,66,Jacob Whitesides – Secrets Cover,youtube.com/watch?v=Em_bQqA-F_o,,JoyfulLuisa,English,Female
mKH9EfgjUJg,0,0,1.3,90,"Machine Gun Kelly, Camila Cabello - Bad Things Cover",youtube.com/watch?v=mKH9EfgjUJg,,JoyfulLuisa,English,Female
nKY7JW3cAPE,0,0,1.11,71,Bruno Mars - Versace On The Floor Cover,youtube.com/watch?v=nKY7JW3cAPE,,JoyfulLuisa,English,Female
PO5M3XQQ96I,0,0,1.04,64,Troye Sivan - FOOLS Cover,youtube.com/watch?v=PO5M3XQQ96I,,JoyfulLuisa,English,Female
Pl6yZZhlJFw,0,0,0.22,22,"Maluma, Becky G, Anitta - Mala Mía Cover",youtube.com/watch?v=Pl6yZZhlJFw,,JoyfulLuisa,Spanish,Female
EH7-lVWuMMM,0,0,0.2,20,Muévelo - Nicky Jam & Daddy Yankee Cover,youtube.com/watch?v=EH7-lVWuMMM,,JoyfulLuisa,Spanish,Female
IPZv2UkoYU4,0,0,0.38,38,"Pedro Capó, Farruko - Calma Cover",youtube.com/watch?v=IPZv2UkoYU4,,JoyfulLuisa,Spanish,Female
T6ONYOagMgU,0,0,1.12,72,Lorde - Green Light Cover,youtube.com/watch?v=T6ONYOagMgU,,JoyfulLuisa,English,Female
0gCZKAq4bfk,0,0,0.14,14,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) feat. Halsey Cover,youtube.com/watch?v=0gCZKAq4bfk,,JoyfulLuisa,English,Female
VaA67GJQktc,0,0,0.35,35,Normani X Calvin Harris - Slow Down Cover,youtube.com/watch?v=VaA67GJQktc,,JoyfulLuisa,English,Female
pO4e0RjYvDw,0,0,0.58,58,DNCE - Kissing Strangers ft. Nicki Minaj Cover,youtube.com/watch?v=pO4e0RjYvDw,,JoyfulLuisa,English,Female
r-71WZBY3xI,0,0,0.24,24,Emanuele Aloia - Girasoli Cover,youtube.com/watch?v=r-71WZBY3xI,,JoyfulLuisa,Italian,Female
RVaK_qcR5jU,0,0,0.59,59,Chloe x Halle - Grown Cover,youtube.com/watch?v=RVaK_qcR5jU,,JoyfulLuisa,English,Female
dmdFcoWSxoY,0,0,0.4,40,Maluma - El Préstamo Cover,youtube.com/watch?v=dmdFcoWSxoY,,JoyfulLuisa,Spanish,Female
e-p4nGdOAXU,0,0,0.5,50,Shakira - Chantaje ft. Maluma Cover,youtube.com/watch?v=e-p4nGdOAXU,,JoyfulLuisa,Spanish,Female
S-PyboabSx8,0,0,0.58,58,Liam Payne - Strip That Down ft. Quavo Cover,youtube.com/watch?v=S-PyboabSx8,,JoyfulLuisa,English,Female
XW09xD4Rr0I,0,0,1.21,81,Katy Perry - Bon Appétit ft. Migos Cover,youtube.com/watch?v=XW09xD4Rr0I,,JoyfulLuisa,English,Female
AjvtvW7lEzI,0,0,0.23,23,"Alan Walker, Sabrina Carpenter & Farruko - On My Way Cover",youtube.com/watch?v=AjvtvW7lEzI,,JoyfulLuisa,English,Female
Rpp6tHzQv_E,0,0,0.48,48,ROSALÍA - BAGDAD Cover,youtube.com/watch?v=Rpp6tHzQv_E,,JoyfulLuisa,Spanish,Female
xq-bQhA6iEM,0,0,1.12,72,Little Mix - You Gotta Not Cover,youtube.com/watch?v=xq-bQhA6iEM,,JoyfulLuisa,English,Female
icw7SLZV2tk,0,0,0.35,35,Maluma - Déjale Saber Cover,youtube.com/watch?v=icw7SLZV2tk,,JoyfulLuisa,Spanish,Female
J5NUoIlf220,0,0,0.37,37,Alan Walker - Alone Cover,youtube.com/watch?v=J5NUoIlf220,,JoyfulLuisa,English,Female
k27oyYqei4w,0,0,2.44,164,One Direction - Little Things Cover,youtube.com/watch?v=k27oyYqei4w,,JoyfulLuisa,English,Female
AX1Kl8AKJCA,0,0,0.21,21,Maryna - Cumbia Love Cover,youtube.com/watch?v=AX1Kl8AKJCA,,JoyfulLuisa,Spanish,Female
DKc8gUgHUJA,0,0,0.59,59,Nathan Sykes - Over And Over Again Cover,youtube.com/watch?v=DKc8gUgHUJA,,JoyfulLuisa,English,Female
SLT9_pAszMs,0,0,1.03,63,One Direction - A.M. Cover,youtube.com/watch?v=SLT9_pAszMs,,JoyfulLuisa,English,Female
Llcc30l-S_M,0,0,1.03,63,One Direction - 18 Cover,youtube.com/watch?v=Llcc30l-S_M,,JoyfulLuisa,English,Female
iYOfyJKpvNE,0,0,0.56,56,Demi Lovato - Confident Cover,youtube.com/watch?v=iYOfyJKpvNE,,JoyfulLuisa,English,Female
gl1dWTG4sOk,0,0,0.23,23,"ROSALÍA, J Balvin - Con Altura ft. El Guincho Cover",youtube.com/watch?v=gl1dWTG4sOk,,JoyfulLuisa,Spanish,Female
W9q2pGHj3mw,0,0,1.1,70,James Arthur - Say You Won't Let Go Cover,youtube.com/watch?v=W9q2pGHj3mw,,JoyfulLuisa,English,Female
3L1CyyCmHqk,0,0,0.36,36,"Snakehips, MØ - Don't Leave Cover",youtube.com/watch?v=3L1CyyCmHqk,,JoyfulLuisa,English,Female
iJ8SHf1feg8,0,0,0.5,50,Justin Bieber - I'll Show You Cover,youtube.com/watch?v=iJ8SHf1feg8,,JoyfulLuisa,English,Female
0PPgw80mP70,0,0,0.35,35,The 1975 - Love Me Cover,youtube.com/watch?v=0PPgw80mP70,,JoyfulLuisa,English,Female
Dh8MrdE070Y,0,0,2.13,133,One Direction Steal My Girl Acapella Cover,youtube.com/watch?v=Dh8MrdE070Y,,JoyfulLuisa,English,Female
cwJp_cOJHys,0,0,1.14,74,John Lewis Christmas Advert 2016 - One Day I'll Fly Away Randy Crawford/Vaults Cover,youtube.com/watch?v=cwJp_cOJHys,,JoyfulLuisa,English,Female
Yh-v2TZBcco,0,0,0.3,30,"HRVY, Malu Trevejo - Hasta Luego Cover",youtube.com/watch?v=Yh-v2TZBcco,,JoyfulLuisa,Spanish,Female
NmOJBXeOc6w,0,0,0.39,39,Becky G - Green Light Go Cover,youtube.com/watch?v=NmOJBXeOc6w,,JoyfulLuisa,English,Female
c-6f3m4unIM,0,0,0.37,37,Baby K ft. Chiara Ferragni - Non Mi Basta Più Cover,youtube.com/watch?v=c-6f3m4unIM,,JoyfulLuisa,Italian,Female
ohTy8M7rYgc,0,0,1.28,88,Andrea Bocelli Ft Ariana Grande - E Più Ti Penso Cover,youtube.com/watch?v=ohTy8M7rYgc,,JoyfulLuisa,Italian,Female
JgJgtTCV8ZQ,0,0,0.34,34,Ricky Dillon - Home Sweet Home Cover,youtube.com/watch?v=JgJgtTCV8ZQ,,JoyfulLuisa,English,Female
_TMy_TKqESs,0,0,0.5,50,Sia - Never Give Up Cover,youtube.com/watch?v=_TMy_TKqESs,,JoyfulLuisa,English,Female
pKwh-JHNK2Y,0,0,0.33,33,"TINI, Mau y Ricky - Recuerdo Cover",youtube.com/watch?v=pKwh-JHNK2Y,,JoyfulLuisa,Spanish,Female
feg1q25g_g0,0,0,0.43,43,Selena Gomez - Bad Liar Cover,youtube.com/watch?v=feg1q25g_g0,,JoyfulLuisa,English,Female
K2Wd7J2IDE4,0,0,0.21,21,Pabllo Vittar - Seu Crime Cover,youtube.com/watch?v=K2Wd7J2IDE4,,JoyfulLuisa,Portuguese,Female
2wf414CFQGI,0,0,1.08,68,Rae Sremmurd - Black Beatles ft. Gucci Mane Cover,youtube.com/watch?v=2wf414CFQGI,,JoyfulLuisa,English,Female
iR2ki4DbQvo,0,0,0.53,53,Major Lazer - Cold Water feat. Justin Bieber & MØ Cover,youtube.com/watch?v=iR2ki4DbQvo,,JoyfulLuisa,English,Female
AK_wGrqKbKU,0,0,0.57,57,5 Seconds of Summer - Lost In Reality Cover,youtube.com/watch?v=AK_wGrqKbKU,,JoyfulLuisa,English,Female
HrPfcqkBtNg,0,0,1.02,62,Me Singing Ashley Tisdale Ft. Vanessa Hudgens covering Elle King Ex's & Oh's,youtube.com/watch?v=HrPfcqkBtNg,,JoyfulLuisa,English,Female
eHQsc26ycko,0,0,0.53,53,Shawn Mendes - Mercy Cover,youtube.com/watch?v=eHQsc26ycko,,JoyfulLuisa,English,Female
1GDoGHiqo5o,0,0,0.52,52,Ed Sheeran - Shape Of You Cover,youtube.com/watch?v=1GDoGHiqo5o,,JoyfulLuisa,English,Female
4_DbDf7TWJ0,0,0,0.5,50,Imagine Dragons - Next To Me Cover,youtube.com/watch?v=4_DbDf7TWJ0,,JoyfulLuisa,English,Female
heR3Wtuyqsw,0,0.01,0.55,54,DNCE - Toothbrush Cover,youtube.com/watch?v=heR3Wtuyqsw,,JoyfulLuisa,English,Female
R-i46UdKcRw,0,0,1.1,70,Sunflower - Shannon Purser (Sierra Burgess Is A Loser) Cover,youtube.com/watch?v=R-i46UdKcRw,,JoyfulLuisa,English,Female
dNenyeCozCk,0,0,0.3,30,Pitbull & J Balvin - Hey Ma ft Camila Cabello Cover,youtube.com/watch?v=dNenyeCozCk,,JoyfulLuisa,English,Female
HjlcCWzeMRQ,0,0,1.05,65,Bebe Rexha - I Got You Cover,youtube.com/watch?v=HjlcCWzeMRQ,,JoyfulLuisa,English,Female
5HmQzGNi410,0,0,0.27,27,Fred De Palma ft. Anitta - Paloma Cover,youtube.com/watch?v=5HmQzGNi410,,JoyfulLuisa,Italian,Female
Zy7jzQXKr0Y,0,0,1.15,75,Pentatonix - The First Noel Cover,youtube.com/watch?v=Zy7jzQXKr0Y,,JoyfulLuisa,English,Female
h2OqqoQPE5s,0,0,1.03,63,One Direction - Wolves Cover,youtube.com/watch?v=h2OqqoQPE5s,,JoyfulLuisa,English,Female
BUhxD9zcKyg,0,0,0.56,56,5 Seconds of Summer - The Girl Who Cried Wolf Cover,youtube.com/watch?v=BUhxD9zcKyg,,JoyfulLuisa,English,Female
uecr4EMMnJY,0,0,1.08,68,Demi Lovato - Father Cover,youtube.com/watch?v=uecr4EMMnJY,,JoyfulLuisa,English,Female
vLKZlIQ4EWc,0,0,1.01,61,Little Mix - I Love You Cover,youtube.com/watch?v=vLKZlIQ4EWc,,JoyfulLuisa,English,Female
fdLdUPddz8g,0,0,0.43,43,"Hailee Steinfeld, Grey - Starving ft. Zedd Cover",youtube.com/watch?v=fdLdUPddz8g,,JoyfulLuisa,English,Female
nK2q850JiLs,0,0,0.49,49,"Blue (David Guetta, Bebe Rexha)",youtube.com/watch?v=nK2q850JiLs,,JoyfulLuisa,English,Female
uOAa96NQYws,0,0,0.39,39,"In The Name Of Love (Martin Garrix, Bebe Rexha)",youtube.com/watch?v=uOAa96NQYws,,JoyfulLuisa,English,Female
tBkXXfF-MCk,0,0,0.57,57,James Arthur - Safe Inside Cover,youtube.com/watch?v=tBkXXfF-MCk,,JoyfulLuisa,English,Female
sDrC8C76izU,0,0,0.29,29,[EXID(이엑스아이디)] 알러뷰 (I LOVE YOU) English Cover,youtube.com/watch?v=sDrC8C76izU,,JoyfulLuisa,English,Female
AlJNxH3-Kns,0,0,0.54,54,PVRIS - Heaven Cover,youtube.com/watch?v=AlJNxH3-Kns,,JoyfulLuisa,English,Female
lq9yTFaJJvQ,0,0,0.49,49,5 Seconds Of Summer - Money Cover,youtube.com/watch?v=lq9yTFaJJvQ,,JoyfulLuisa,English,Female
W-f1-HsL9Gc,0,0,1.05,65,Love Me Now (John Legend),youtube.com/watch?v=W-f1-HsL9Gc,,JoyfulLuisa,English,Female
